student_id,first_name,last_name,email,phone,date_of_birth,gender,nationality,home_country,home_city,native_language,current_gpa,previous_education_level,field_of_study,institution_type,standardized_test_score,academic_achievements,research_experience,family_income_bracket,financial_aid_needed,tuition_budget,living_expense_budget,has_scholarship,financial_support_source,intended_career_field,career_importance_score,job_market_priority,entrepreneurship_interest,research_interest,industry_preference,preferred_destinations,language_barrier_concern,cultural_adaptation_confidence,visa_processing_importance,post_study_work_priority,permanent_residence_interest,family_influence_score,peer_influence_score,consultant_influence_score,university_ranking_importance,cost_sensitivity_score,safety_importance_score,risk_tolerance_score,decision_making_style,information_seeking_behavior,technology_comfort_level,social_network_size,adaptability_score,applications_submitted,acceptances_received,final_destination_country,final_university_tier,application_success_rate,decision_satisfaction_score,consultation_sessions,information_search_hours,application_preparation_time,decision_timeline_days,stress_level_score,confidence_level_score
1,Justin,Smith,annhernandez@example.net,001-741-985-0593x7111,2005-07-27,Other,India,India,Woodview,Hindi,3.61,Bachelor's,Pharmacy,International,1271,4,False,"<$10,000",False,17082,8976,True,Personal Savings,Healthcare,4,4,2,1,Healthcare,Switzerland,4,9,7,4,5,8,10,5,1,3,7,6,Flexible,Peer-Influenced,4,6,2,4,3,Switzerland,Tier 1 (Top 50),75.0,7,2,101,206,648,5,1
2,Christina,Carter,ngarrett@example.net,(264)427-6298,2003-12-10,Male,Pakistan,Pakistan,Annaville,Urdu,3.07,High School,Data Science,International,333,4,False,"$25,000-$50,000",False,28730,16748,False,Scholarship,Energy,2,10,4,3,Academia,"Switzerland,Australia",3,8,7,5,8,9,4,6,1,4,1,6,Optimistic,Self-Directed,2,4,10,8,3,Australia,Tier 2 (Top 100),37.5,4,11,137,232,688,8,3
3,Pamela,Lewis,petercarrillo@example.org,490-747-9844,2007-01-29,Male,Pakistan,Pakistan,Moralesberg,Spanish,2.73,Diploma,Electrical Engineering,Private,1548,4,True,"<$10,000",False,40009,23337,True,Educational Loan,Non-profit,5,9,10,2,Technology,Singapore,2,9,5,6,8,2,5,7,3,8,1,5,Collaborative,Consultant-Dependent,5,9,10,6,1,Singapore,Tier 4 (Below 200),16.7,1,6,51,306,573,1,10
4,Amy,Snyder,brandoncummings@example.org,(251)562-9064,1998-11-08,Male,Bangladesh,Bangladesh,Stonestad,Thai,2.69,Master's,Physics,Public,315,8,True,"$75,000-$100,000",False,78200,14940,False,Educational Loan,Real Estate,9,4,8,7,Healthcare,"Netherlands,Singapore,France",8,9,8,2,2,4,4,2,6,1,10,9,Decisive,Family-Guided,1,2,1,6,0,,,0.0,3,15,18,199,102,9,4
5,Jennifer,King,xlee@example.com,759.416.9822,1996-08-03,Male,Iran,Iran,Port Alisha,Persian,3.03,Bachelor's,Medicine,Private,335,6,False,"<$10,000",False,62724,19118,True,Educational Loan,Media,2,4,5,4,Technology,"Australia,Switzerland",8,3,7,3,10,5,8,4,2,8,9,2,Analytical,Extensive Research,2,4,3,9,7,Australia,Tier 4 (Below 200),77.8,5,8,64,235,90,3,7
6,Jason,Lyons,wfranklin@example.net,(727)444-6289,1998-12-17,Other,China,China,Lake Abigail,Dutch,3.62,Diploma,Nursing,International,1499,1,True,"$75,000-$100,000",True,18727,24640,True,Employer Sponsorship,Healthcare,3,2,5,3,Finance,Singapore,4,7,2,10,2,4,10,10,1,10,2,7,Cautious,Self-Directed,4,6,4,7,6,Singapore,Tier 1 (Top 50),85.7,8,3,181,360,337,8,6
7,Chelsea,Gregory,nguyenjennifer@example.org,(652)565-1526x5795,2002-03-17,Male,Brazil,Brazil,Millerside,English,2.74,High School,Electrical Engineering,Public,325,1,True,">$100,000",True,58769,17810,True,Mixed Sources,Real Estate,2,3,6,10,Academia,"UK,Japan,Switzerland",3,5,5,10,3,4,6,4,5,9,8,5,Analytical,Consultant-Dependent,7,5,1,3,2,Switzerland,Tier 4 (Below 200),66.7,9,13,43,356,298,3,8
8,James,Ray,hcervantes@example.net,(272)204-7400,2005-05-19,Female,China,China,Cindyside,Japanese,2.96,Bachelor's,International Relations,Private,330,10,False,"$10,000-$25,000",True,58708,11368,False,Family Savings,Consulting,9,7,2,5,Healthcare,"Australia,Canada",3,7,1,3,10,6,7,4,5,3,2,7,Analytical,Minimal Research,4,4,8,8,4,Canada,Tier 3 (Top 200),50.0,2,14,68,144,54,4,7
9,Rhonda,Jacobs,prattandre@example.net,(494)842-6565,2006-09-04,Female,Pakistan,Pakistan,Martinview,English,3.39,High School,Architecture,Private,330,4,True,"$75,000-$100,000",True,40244,14228,False,Mixed Sources,Research,1,7,10,10,Finance,Switzerland,9,4,6,7,8,2,6,10,6,2,5,9,Flexible,Multiple-Source,6,7,5,11,2,Switzerland,Tier 4 (Below 200),18.2,9,4,117,224,723,3,10
10,Jack,Barnett,robertrivera@example.net,+1-487-854-3892,2000-05-27,Female,Sri Lanka,Sri Lanka,Port Mindy,Arabic,3.27,Master's,Business Administration,Private,330,10,False,"$25,000-$50,000",False,21120,15696,False,Employer Sponsorship,Manufacturing,5,4,9,7,Academia,"Canada,USA",1,4,8,10,8,2,8,7,10,4,7,8,Optimistic,Family-Guided,3,1,2,9,3,Canada,Tier 1 (Top 50),33.3,8,3,188,295,505,1,9
11,James,Ramos,cblair@example.com,509.780.5519x87340,2000-05-17,Male,South Korea,South Korea,Port Lindastad,Italian,2.89,High School,Nursing,Private,1526,8,True,"$50,000-$75,000",True,32996,22413,False,Educational Loan,Healthcare,5,4,5,7,Government,"France,Japan,Switzerland",2,3,3,4,1,7,3,4,2,7,7,6,Pragmatic,Multiple-Source,1,4,7,9,0,,,0.0,3,14,157,224,518,1,6
12,Jonathan,Cook,jasmineware@example.com,661-926-1126,2001-11-27,Female,Turkey,Turkey,Matthewside,Portuguese,3.59,Master's,Electrical Engineering,Public,338,9,True,"$75,000-$100,000",True,74436,20911,True,Educational Loan,Entrepreneurship,10,1,8,2,Academia,Singapore,7,3,8,3,4,1,5,7,6,4,8,6,Cautious,Multiple-Source,5,7,5,4,3,Singapore,Tier 1 (Top 50),75.0,4,1,148,56,388,4,2
13,Krista,Cooke,anthonyjackson@example.org,825.994.7743,2003-05-05,Female,Vietnam,Vietnam,Angelastad,Turkish,2.75,Bachelor's,Data Science,International,327,9,False,"$25,000-$50,000",True,52924,8841,False,Mixed Sources,Real Estate,5,10,4,2,Finance,"Netherlands,Australia,UK,Singapore",2,5,10,2,8,10,1,6,9,7,6,2,Cautious,Extensive Research,7,8,2,9,5,UK,Tier 4 (Below 200),55.6,8,11,127,108,475,3,9
14,Kristen,Jacobs,kimberly87@example.com,(525)760-6593,2000-03-29,Male,Egypt,Egypt,Elizabethmouth,Urdu,3.42,Diploma,Psychology,Private,281,5,False,"$10,000-$25,000",False,28901,19626,False,Scholarship,Media,5,6,5,4,Technology,"New Zealand,Germany,Switzerland",1,9,4,2,4,4,7,8,9,4,8,8,Pragmatic,Extensive Research,2,5,4,9,3,Switzerland,Tier 3 (Top 200),33.3,7,5,179,327,407,8,9
15,Jeremy,Davis,cmurray@example.org,(632)354-1444x5095,2006-07-08,Female,Philippines,Philippines,New Brad,Hindi,3.93,Master's,Marketing,International,292,10,True,"$25,000-$50,000",False,79258,11294,True,Educational Loan,Legal,4,5,10,5,Technology,"France,Canada",5,1,9,3,4,5,1,1,9,5,3,8,Intuitive,Extensive Research,10,5,8,10,7,France,Tier 4 (Below 200),70.0,8,6,57,56,288,8,2
16,Desiree,Thomas,steeleanita@example.net,(254)223-9354x61436,1999-04-20,Male,Iran,Iran,Dickersonhaven,Swahili,3.41,Diploma,Finance,International,294,3,False,"$50,000-$75,000",False,71371,22051,True,Employer Sponsorship,Research,10,10,4,3,Finance,New Zealand,2,4,4,5,3,2,3,4,3,9,2,3,Analytical,Multiple-Source,8,10,8,7,0,,,0.0,3,4,83,174,494,2,4
17,Heather,Zavala,laradanielle@example.com,421-216-9640,2006-10-29,Male,Nepal,Nepal,Kerrshire,German,3.69,High School,Finance,International,332,1,True,"<$10,000",False,60133,17964,False,Government Funding,Energy,7,5,8,5,Government,"Sweden,UK,New Zealand,USA",7,6,10,5,9,1,2,4,10,10,1,5,Analytical,Peer-Influenced,8,9,8,7,2,New Zealand,Tier 4 (Below 200),28.6,6,10,121,355,533,2,8
18,Barbara,Gray,kimberly45@example.org,501-515-4538x3756,1999-11-08,Male,Nigeria,Nigeria,South Walterfurt,Thai,2.97,Diploma,Nursing,Private,329,3,False,"<$10,000",False,42082,9776,True,Government Funding,Engineering,9,6,4,10,Academia,"Singapore,Sweden,USA,Australia",5,9,3,5,3,8,8,2,1,10,4,3,Flexible,Extensive Research,9,7,2,6,6,USA,Tier 3 (Top 200),100.0,7,15,39,266,150,3,8
19,Deanna,Merritt,janenicholson@example.org,631-469-2441,2002-09-06,Male,Iran,Iran,Port James,Turkish,3.01,Bachelor's,Chemistry,International,297,2,True,">$100,000",False,69884,24044,False,Mixed Sources,Legal,3,8,5,6,Academia,"France,Japan,Switzerland,New Zealand",7,8,6,4,7,4,10,7,4,7,1,6,Pragmatic,Multiple-Source,7,3,8,3,1,New Zealand,Tier 1 (Top 50),33.3,3,9,161,199,132,8,2
20,Karen,Williams,patricia32@example.com,228.811.5349x190,2006-05-24,Other,Mexico,Mexico,Greenview,Arabic,3.78,High School,Marketing,Public,304,7,False,"$75,000-$100,000",True,55465,10242,False,Scholarship,Engineering,5,4,1,8,Finance,Netherlands,2,2,8,3,9,5,1,1,6,1,5,6,Cautious,Multiple-Source,3,4,9,9,2,Netherlands,Tier 4 (Below 200),22.2,10,3,54,70,654,7,10
21,Cathy,Wheeler,phelpsalexis@example.com,649-396-3224x73269,2005-10-30,Male,South Korea,South Korea,Michaelfort,Mandarin,3.92,Diploma,Physics,International,299,5,True,"$50,000-$75,000",False,28055,20605,True,Scholarship,Legal,8,2,6,7,Healthcare,"Netherlands,New Zealand",6,10,5,5,4,1,7,5,1,10,1,10,Pragmatic,Self-Directed,4,10,6,6,5,Netherlands,Tier 3 (Top 200),83.3,8,4,168,158,724,3,2
22,Eric,Hall,regina00@example.org,+1-866-815-6587,1998-11-18,Male,Vietnam,Vietnam,Charlottemouth,French,3.3,Master's,Physics,International,333,6,True,"$50,000-$75,000",False,63926,19099,True,Family Savings,Media,2,8,1,5,Government,Canada,4,7,9,6,2,2,7,1,5,9,2,8,Cautious,Self-Directed,10,7,6,4,1,Canada,Tier 1 (Top 50),25.0,8,8,16,347,604,6,10
23,Donna,Foster,colemason@example.org,628.554.2370,2003-11-02,Male,Philippines,Philippines,Port Robert,Urdu,2.7,Diploma,Environmental Science,Public,322,9,True,">$100,000",True,73026,21594,True,Scholarship,Manufacturing,2,8,3,10,Technology,"Germany,USA,France,Australia",8,8,4,6,5,2,6,9,6,1,7,5,Decisive,Consultant-Dependent,8,2,4,12,0,,,0.0,1,1,95,154,158,10,4
24,Randy,Brown,jamesgarcia@example.net,695-333-4466x0505,2004-08-19,Male,Philippines,Philippines,New Cynthia,Hindi,2.88,Bachelor's,Economics,Public,1538,5,True,"<$10,000",False,66772,15796,True,Educational Loan,Entrepreneurship,6,1,5,10,Academia,"Germany,USA",3,7,9,2,9,2,8,8,6,9,10,2,Pragmatic,Family-Guided,10,1,9,7,7,Germany,Tier 4 (Below 200),100.0,8,11,17,61,520,7,7
25,Luis,Atkins,smithmaxwell@example.com,430.724.6578x35282,2002-04-01,Other,Turkey,Turkey,South Amber,Turkish,3.99,Diploma,Medicine,International,309,0,False,">$100,000",True,70888,15045,False,Scholarship,Education,8,4,2,10,Academia,"France,Sweden,Netherlands,New Zealand",2,6,7,6,4,5,6,3,8,2,2,2,Intuitive,Multiple-Source,2,6,3,11,0,,,0.0,3,10,153,317,367,2,7
26,Alexander,Thomas,nicole48@example.net,001-429-897-2423,1997-02-17,Male,Indonesia,Indonesia,Loganberg,Dutch,2.84,High School,Medicine,Public,1484,0,True,"$25,000-$50,000",True,67902,22061,True,Mixed Sources,Legal,9,10,10,1,Technology,New Zealand,5,1,3,5,5,5,6,6,1,3,3,10,Optimistic,Consultant-Dependent,3,1,2,11,3,New Zealand,Tier 3 (Top 200),27.3,10,7,117,262,379,3,6
27,Michael,Sutton,lindsayhughes@example.com,272-882-5078x852,1996-11-09,Female,Iran,Iran,Terranceport,English,3.23,Master's,Nursing,Private,297,1,False,"<$10,000",False,43174,11633,False,Employer Sponsorship,Research,10,8,7,7,Finance,"USA,Australia,Netherlands",10,1,1,4,2,5,4,3,5,5,6,2,Analytical,Minimal Research,7,3,3,9,8,Australia,Tier 1 (Top 50),88.9,7,12,68,286,602,6,2
28,Christopher,Tanner,fieldsstephanie@example.com,+1-360-419-0916x909,2006-10-23,Female,Mexico,Mexico,Lake Allisonview,Swahili,2.76,High School,Business Administration,Private,309,10,False,"$50,000-$75,000",True,30945,22276,False,Educational Loan,Entrepreneurship,7,9,8,2,Government,Netherlands,5,6,4,6,8,3,2,9,2,9,9,4,Cautious,Technology-Assisted,3,4,2,5,2,Netherlands,Tier 4 (Below 200),40.0,10,4,54,338,186,2,3
29,James,Grant,donna46@example.org,+1-484-953-3628x07563,2002-12-25,Other,Kenya,Kenya,South Jesseville,Korean,3.39,High School,Finance,Private,284,6,False,"$50,000-$75,000",True,18728,20082,False,Personal Savings,Legal,5,2,10,1,Finance,New Zealand,10,9,7,8,2,10,9,1,8,10,4,6,Pragmatic,Peer-Influenced,1,8,2,8,1,New Zealand,Tier 2 (Top 100),12.5,6,9,175,118,70,4,8
30,Samuel,Carpenter,mcclurecharles@example.net,+1-339-570-8173,2005-07-27,Female,Philippines,Philippines,North Melissachester,Arabic,3.52,Master's,Psychology,International,1570,6,True,"<$10,000",True,75079,19462,True,Educational Loan,Research,7,3,10,3,Government,Germany,9,7,6,3,1,9,2,7,9,6,1,6,Flexible,Peer-Influenced,4,6,8,6,1,Germany,Tier 3 (Top 200),16.7,10,3,49,69,332,2,9
31,Manuel,Larson,krystal12@example.net,001-527-478-4496x70091,2001-09-14,Female,Ethiopia,Ethiopia,Hutchinsonshire,Turkish,3.95,Diploma,Mathematics,Public,328,6,False,"$75,000-$100,000",True,35281,23368,True,Government Funding,Real Estate,4,6,2,6,Healthcare,"Sweden,Germany,Netherlands,Switzerland",9,7,3,4,1,10,3,5,1,8,6,9,Intuitive,Consultant-Dependent,5,2,3,7,7,Switzerland,Tier 3 (Top 200),100.0,1,15,141,105,477,2,4
32,Ashley,Goodman,gibsonstacy@example.org,(394)915-0815x04035,2006-01-17,Female,Mexico,Mexico,Gonzalesmouth,English,3.69,Diploma,Economics,International,1346,5,True,">$100,000",False,44399,8172,False,Educational Loan,Real Estate,2,1,2,9,Finance,"Australia,Canada,Switzerland",10,9,7,2,2,5,4,5,2,1,4,7,Pragmatic,Consultant-Dependent,2,8,10,11,0,,,0.0,4,11,141,324,277,3,5
33,Jonathan,Smith,charles90@example.net,544-212-3692x576,1999-03-27,Other,Thailand,Thailand,Lake Melissachester,Mandarin,3.68,Diploma,Marketing,International,281,3,False,"<$10,000",False,79293,20232,False,Mixed Sources,Research,1,6,1,6,Finance,France,4,2,10,6,2,3,1,6,9,6,3,8,Pragmatic,Peer-Influenced,3,2,8,3,2,France,Tier 4 (Below 200),66.7,5,4,21,132,72,6,5
34,Jennifer,Huang,rbrown@example.com,001-252-566-1569x879,2001-05-11,Female,Turkey,Turkey,Travisville,Bengali,3.61,High School,Data Science,Public,304,2,False,"$50,000-$75,000",False,39074,16739,True,Educational Loan,Media,2,7,2,4,Finance,Netherlands,10,3,9,5,6,6,2,2,6,5,5,8,Optimistic,Peer-Influenced,8,6,8,3,2,Netherlands,Tier 3 (Top 200),66.7,9,10,121,170,684,1,2
35,Jeffrey,Hill,victoria64@example.org,001-652-524-1239x44531,1997-11-06,Female,China,China,Lake Jasonberg,Urdu,3.41,High School,International Relations,International,340,4,False,"$50,000-$75,000",True,52612,12511,True,Personal Savings,Non-profit,6,7,3,6,Academia,"Singapore,Germany,Australia",2,1,3,8,4,9,7,9,2,5,5,8,Decisive,Self-Directed,8,4,2,5,0,,,0.0,1,8,54,257,119,6,6
36,Courtney,Stuart,ashleywright@example.org,001-518-568-4359x024,2003-09-02,Male,Bangladesh,Bangladesh,Derekstad,Portuguese,2.86,High School,Finance,International,303,8,False,"$75,000-$100,000",True,55104,10825,True,Personal Savings,Healthcare,5,7,5,10,Academia,"Switzerland,Netherlands,Singapore,UK",3,6,2,8,2,8,9,6,3,9,10,3,Collaborative,Multiple-Source,9,1,2,11,2,Singapore,Tier 1 (Top 50),18.2,5,5,52,112,360,4,6
37,Nancy,Wells,jestes@example.org,+1-228-282-5029x842,1997-05-21,Other,Nepal,Nepal,Conniemouth,Korean,3.39,High School,Environmental Science,International,290,8,True,"<$10,000",True,20323,9489,False,Educational Loan,Manufacturing,10,5,8,2,Finance,"New Zealand,Netherlands",10,1,8,9,8,5,5,8,4,7,5,8,Intuitive,Extensive Research,3,8,7,10,7,Netherlands,Tier 4 (Below 200),70.0,3,4,97,340,177,6,6
38,Holly,Orr,romerocatherine@example.net,679.704.3413x61373,2004-09-30,Male,Pakistan,Pakistan,West Justinmouth,Urdu,2.58,Diploma,Mathematics,Public,335,5,False,"$10,000-$25,000",False,76194,18247,True,Government Funding,Engineering,3,8,9,8,Academia,"Sweden,Germany,Japan,USA",2,7,9,8,5,4,4,10,6,1,1,5,Pragmatic,Minimal Research,5,9,1,4,3,USA,Tier 1 (Top 50),75.0,10,3,77,217,442,6,1
39,Melissa,Khan,rachel38@example.net,(567)572-8116,1996-08-05,Other,Ghana,Ghana,Abigailmouth,German,2.68,High School,Psychology,International,305,1,False,"$75,000-$100,000",False,64477,12727,False,Mixed Sources,Engineering,10,9,1,10,Government,"Switzerland,USA,Singapore,New Zealand",3,6,8,9,5,8,3,10,9,3,6,10,Cautious,Peer-Influenced,7,10,5,12,5,New Zealand,Tier 1 (Top 50),41.7,6,9,140,302,531,10,5
40,Cathy,Haynes,alexis07@example.org,+1-241-791-1716,1997-08-20,Other,Egypt,Egypt,Jameston,Japanese,2.84,Master's,Nursing,International,1445,4,True,">$100,000",False,24684,15936,False,Mixed Sources,Technology,10,2,5,4,Government,"USA,Sweden",6,7,3,7,6,4,7,9,10,8,1,3,Decisive,Technology-Assisted,8,9,7,8,2,Sweden,Tier 2 (Top 100),25.0,4,8,146,205,589,6,5
41,Trevor,Gonzalez,bhines@example.com,799-849-9298x1955,2001-12-04,Female,Philippines,Philippines,South Judithborough,Urdu,3.9,High School,Medicine,Public,297,6,False,"$75,000-$100,000",False,73704,20928,False,Personal Savings,Legal,6,3,4,5,Finance,"USA,Germany,UK",6,8,5,8,5,4,4,9,5,9,5,3,Intuitive,Family-Guided,4,1,9,6,5,USA,Tier 2 (Top 100),83.3,1,4,23,81,453,6,8
42,Bill,Williams,melissa50@example.com,+1-723-649-7639x9523,2007-02-09,Other,Nigeria,Nigeria,Randallland,Swahili,3.48,Bachelor's,Data Science,International,1578,3,True,"$50,000-$75,000",True,76205,9190,False,Mixed Sources,Legal,7,8,7,9,Finance,"Japan,Germany",1,1,5,10,2,10,2,6,5,8,9,9,Pragmatic,Peer-Influenced,9,8,5,6,6,Japan,Tier 3 (Top 200),100.0,5,2,94,113,499,5,3
43,Allison,Oconnor,brian46@example.net,(427)808-5022x16595,1997-05-04,Female,Pakistan,Pakistan,Kristineshire,Portuguese,2.78,Master's,Computer Science,Public,1365,10,True,"$25,000-$50,000",False,30435,22638,False,Employer Sponsorship,Media,5,6,6,2,Academia,"New Zealand,Japan,USA",5,6,4,1,2,2,8,5,3,7,9,5,Intuitive,Self-Directed,6,10,4,6,1,USA,Tier 4 (Below 200),16.7,9,8,49,262,650,6,7
44,Dominic,Miller,moralesmitchell@example.net,719-701-2876,1999-01-10,Male,Thailand,Thailand,Crawfordberg,Mandarin,2.8,High School,Nursing,Private,290,6,True,"$50,000-$75,000",True,59583,14730,True,Mixed Sources,Energy,10,8,7,6,Government,Switzerland,8,1,8,3,8,9,7,8,10,1,9,8,Flexible,Extensive Research,7,5,1,6,4,Switzerland,Tier 1 (Top 50),66.7,8,2,21,246,382,2,9
45,Valerie,Frank,sararios@example.net,653-876-6241,2000-10-19,Female,Nigeria,Nigeria,New Stephanieside,Dutch,3.52,Master's,International Relations,International,314,0,True,"<$10,000",True,50209,20879,True,Government Funding,Non-profit,3,4,8,4,Academia,USA,5,8,9,7,4,9,7,4,4,8,6,3,Flexible,Family-Guided,2,1,7,12,0,,,0.0,4,4,62,64,133,10,1
46,Lauren,York,frankfranklin@example.net,+1-562-811-8751x58922,2005-04-25,Male,Thailand,Thailand,North William,Urdu,3.99,High School,Environmental Science,Private,1574,6,True,"$75,000-$100,000",False,30525,17888,False,Educational Loan,Real Estate,3,9,5,4,Finance,"Netherlands,Germany",5,1,9,10,2,3,7,9,8,1,6,7,Cautious,Multiple-Source,7,3,5,9,2,Netherlands,Tier 4 (Below 200),22.2,1,13,147,272,276,4,5
47,Steven,Ruiz,sarahhansen@example.org,(461)652-3124x288,2002-01-29,Female,Nigeria,Nigeria,East Fernandotown,Portuguese,3.3,High School,Law,Private,283,5,False,">$100,000",True,72253,10384,True,Employer Sponsorship,Engineering,10,9,4,3,Technology,"Sweden,Australia",6,5,1,4,5,4,2,8,4,10,4,7,Decisive,Technology-Assisted,5,7,8,11,5,Sweden,Tier 4 (Below 200),45.5,6,5,76,214,555,8,8
48,Kyle,Johnson,bowmankathryn@example.net,9348041087,1998-05-12,Other,Egypt,Egypt,Millsburgh,Urdu,3.58,High School,Mathematics,International,1300,6,True,"$50,000-$75,000",True,47722,19061,True,Employer Sponsorship,Research,8,8,5,9,Finance,"Canada,France,Japan,New Zealand",9,8,3,9,1,1,9,1,2,1,1,7,Collaborative,Family-Guided,2,3,1,6,4,New Zealand,Tier 1 (Top 50),66.7,1,8,105,60,662,10,8
49,Amanda,Banks,patricia09@example.net,(771)704-6566x66025,1996-12-19,Other,Iran,Iran,West Roberttown,Thai,3.71,Bachelor's,Nursing,Private,286,0,True,"$10,000-$25,000",True,27578,16271,False,Employer Sponsorship,Legal,6,5,10,1,Healthcare,"UK,France,Netherlands,Sweden",10,4,4,5,6,2,1,2,7,7,7,9,Pragmatic,Extensive Research,1,3,2,10,6,France,Tier 2 (Top 100),60.0,10,11,94,319,127,9,1
50,Sara,Washington,banksjill@example.com,696-989-8991x2815,2003-09-27,Male,Egypt,Egypt,Valerieburgh,Dutch,2.72,Diploma,Business Administration,Private,332,3,True,"$25,000-$50,000",True,51959,15879,True,Scholarship,Entrepreneurship,7,9,3,7,Healthcare,"Netherlands,Canada,UK",9,6,1,2,7,7,4,2,6,10,10,10,Optimistic,Technology-Assisted,1,5,8,10,3,UK,Tier 4 (Below 200),30.0,2,6,151,222,472,3,10
51,Nicholas,Berry,justin01@example.org,584-939-1633x1310,2002-01-18,Female,Pakistan,Pakistan,Lake Jessicaside,Thai,2.64,High School,Physics,Public,308,5,False,"<$10,000",True,20721,14140,True,Personal Savings,Education,8,9,8,10,Academia,"UK,USA,Japan,France",9,2,10,10,4,6,7,1,5,7,7,2,Decisive,Peer-Influenced,7,3,3,7,4,Japan,Tier 4 (Below 200),57.1,5,5,136,104,94,3,7
52,David,Perry,mday@example.com,(582)255-8257x144,2006-01-02,Female,Bangladesh,Bangladesh,South Shaunview,Thai,2.96,Diploma,Psychology,Public,301,10,False,"$50,000-$75,000",False,43220,12460,True,Scholarship,Research,6,10,3,7,Government,"Sweden,France",3,7,6,5,2,8,10,4,6,7,5,7,Cautious,Consultant-Dependent,10,4,10,11,2,France,Tier 1 (Top 50),18.2,7,11,150,43,502,4,8
53,Jeremy,Lucero,kelly46@example.net,833.439.9932x2369,1998-01-17,Female,Indonesia,Indonesia,New Christina,Arabic,3.37,Diploma,Pharmacy,Private,339,4,False,"<$10,000",False,60982,10784,False,Mixed Sources,Healthcare,4,6,4,9,Government,"Singapore,New Zealand",1,10,7,6,6,7,2,1,2,5,4,9,Decisive,Minimal Research,6,7,8,12,8,New Zealand,Tier 1 (Top 50),66.7,2,3,98,42,524,2,5
54,Jennifer,Foley,xmorgan@example.net,2574148335,2006-04-26,Female,South Korea,South Korea,Henryborough,German,3.58,High School,Engineering,Public,284,7,True,">$100,000",True,16480,19241,False,Personal Savings,Manufacturing,2,3,8,9,Finance,"Switzerland,Canada",9,3,6,9,10,7,8,4,7,3,3,7,Optimistic,Extensive Research,10,4,8,12,6,Switzerland,Tier 2 (Top 100),50.0,6,7,11,139,240,5,2
55,Jennifer,Higgins,williamcrane@example.net,375.879.5456x0773,1997-10-23,Female,Turkey,Turkey,New Nicholasside,English,3.38,Diploma,Electrical Engineering,Private,334,2,True,"$10,000-$25,000",False,75206,10777,False,Employer Sponsorship,Manufacturing,3,6,9,8,Government,Australia,5,2,3,6,8,3,9,7,7,10,3,10,Optimistic,Multiple-Source,3,8,9,5,4,Australia,Tier 1 (Top 50),80.0,6,3,135,177,173,3,6
